URL,Company Name,Company URL,Job Title,Description Summary,Skills,Compensation,Location,Employment Type,Experience Level,Department,Crypto Focus,Source,Date
https://www.fireblocks.com/careers/position/4601513006?gh_jid=4601513006,Fireblocks,fireblocks.com,Senior Blockchain Engineer,"The Senior Blockchain Engineer will design and build end-to-end features across frontend, backend, and blockchain layers for Fireblocks' wallet infrastructure. This role requires collaboration with various teams to integrate blockchain technologies and mentor other engineers.",TypeScript; Go; Python; blockchain; smart contracts; DeFi; Layer 2 solutions; cross-chain bridges; wallet infrastructure,,Remote,Full-time,Senior,Engineering,Infrastructure,Jobs | Paradigm Job Board,2026-04-26T00:50:01.000Z
https://www.zipline.com/careers?gh_jid=6567306003,Zipline,zipline.com,Senior Manufacturing Engineer,The Senior Manufacturing Engineer role at Zipline involves solving unique problems with a high level of autonomy and contributing to projects that make a significant impact. The position emphasizes the importance of empathy and quality in delivery.,,,Remote,Full-time,Senior,Engineering,,Jobs | Paradigm Job Board,2026-04-26T00:35:01.000Z
https://www.zipline.com/careers?gh_jid=6684275003,Zipline,zipline.com,Fleet Commander (RPIC),"The Fleet Commander (RPIC) role at Zipline involves overseeing the operation of delivery drones, ensuring safety and efficiency in logistics. The position requires problem-solving skills and the ability to work autonomously.",,,Remote,Full-time,Mid,Operations,,Jobs | Paradigm Job Board,2026-04-26T00:20:01.000Z
https://jobs.ashbyhq.com/alchemy/8cf4441a-866a-4a1b-82b9-4df6901c703c?utm_source=jobs.panteracapital.com,Alchemy,,Senior Brand Designer,,,,,,,,,Jobs at Pantera Capital Companies | Pantera Capital,2026-04-25T12:50:24.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207530-operations-support-analyst#content,Coinflow Labs,coinflow.cash,Operations Support Analyst,"The Operations Support Analyst will optimize the merchant onboarding process by managing applications, configuring accounts, and implementing scalable systems. The role requires strong organizational skills and the ability to define processes in a fast-paced environment.",Google Apps Script; Salesforce; Excel; Zapier; CRM; Data Analysis; Automation,USD 70k-90k / year,"Chicago, IL, USA",Full-time,Entry,Operations,,Jobs | Solana Network Opportunities Job Board,2026-04-25T11:59:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207532-senior-merchant-underwriter#content,Coinflow Labs,coinflow.cash,Senior Merchant Underwriter,"As a Senior Merchant Underwriter, you will evaluate merchant applications, conduct credit reviews, and manage risk for high-risk sectors. You will also collaborate with cross-functional teams to enhance underwriting processes and ensure compliance with regulations.",Underwriting; Risk Assessment; Payment Processing; SQL; Data Analysis; Excel; Regulatory Compliance; Fraud Prevention; Merchant Acquiring; Blockchain Analytics,USD 100k-140k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Risk & Compliance,Payments,Jobs | Solana Network Opportunities Job Board,2026-04-25T11:44:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207528-senior-accountant#content,Coinflow Labs,coinflow.cash,Senior Accountant,"The Senior Accountant will build Coinflow's accounting foundation, designing processes and controls to support the company's rapid growth. This hands-on role requires strong technical accounting skills and a passion for the crypto and digital payments space.",CPA; NetSuite; Sage Intacct; QuickBooks; revenue recognition; financial modeling; audit preparation; internal controls; budgeting; forecasting,USD 135k-175k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Finance,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-25T11:14:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207525-machine-learning-engineer#content,Coinflow Labs,coinflow.cash,Machine Learning Engineer,Coinflow Labs is seeking a Machine Learning Engineer to build the intelligence layer for their platform. The role involves developing machine learning models and analytical systems to enhance platform decision-making and product intelligence.,Machine Learning; Data Science; Statistical Analysis; Model Building; Data Analysis; Python; Fraud Prevention; Risk Management,USD 160k-220k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Engineering,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-25T10:44:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207522-business-development-manager#content,Coinflow Labs,coinflow.cash,Business Development Manager,"Coinflow Labs is seeking a Business Development Manager to lead the development of strategic partnerships that drive sales and revenue growth. The role involves managing partnerships across fintech, banking, and crypto sectors, from prospecting to deal closure.",Sales; Partnership Development; Negotiation; Communication; Customer Relationship Management; Fintech; Crypto; Business Development; Market Strategy; Revenue Optimization,USD 170k-280k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Business Development,Payments,Jobs | Solana Network Opportunities Job Board,2026-04-25T10:29:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207527-solutions-engineer#content,Coinflow Labs,coinflow.cash,Solutions Engineer,"The Solutions Engineer at Coinflow Labs will work directly with customer engineering teams to design and implement integrations, troubleshoot issues, and ensure smooth deployments. This role combines engineering expertise with customer-facing problem-solving to enhance the payment infrastructure.",TypeScript; React; REST APIs; database queries; integrations; distributed systems,USD 120k-160k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Engineering,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-25T10:14:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207524-applied-ai-lead#content,Coinflow Labs,coinflow.cash,Applied AI Lead,"Coinflow Labs is seeking an Applied AI Lead to identify and implement high-impact AI solutions across the organization. The role involves building internal AI tools and automations, ensuring quality and governance in production environments, and driving adoption through collaboration with various business teams.",Applied AI; TypeScript; LLM APIs; workflow automation; production systems; context management; evaluation; retrieval; orchestration; data platforms,,"Chicago, IL, USA",Full-time,Mid,Engineering,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-25T09:59:58.000Z
https://jobs.solana.com/companies/coinflow-labs/jobs/76207526-senior-software-engineer#content,Coinflow Labs,coinflow.cash,Senior Software Engineer,"The Senior Software Engineer will design and implement systems for processing high transaction volumes in global payments. This role involves building APIs, optimizing database queries, and collaborating with product teams to deliver features.",TypeScript; Node.js; React; REST API; MongoDB; AWS; GCP; cloud infrastructure; distributed systems; fraud detection,USD 140k-190k / year + Equity,"Chicago, IL, USA",Full-time,Mid,Engineering,Payments,Jobs | Solana Network Opportunities Job Board,2026-04-25T09:44:58.000Z
http://veem.applytojob.com/apply/JcKZrl83HR/Paralegal-Compliance-Partner-Risk,Veem,veem.com,Paralegal — Compliance & Partner Risk,"The Paralegal role at Veem focuses on supporting compliance and partner risk functions by providing legal research, documentation, and operational support for partner onboarding and compliance. The position requires managing KYC validation and ensuring regulatory requirements are met.",KYC; AML; compliance; risk management; documentation; stakeholder management; legal research; partner onboarding,,Remote,Full-time,Experienced,Compliance,,Jobs at Pantera Capital Companies | Pantera Capital,2026-04-25T06:55:37.000Z
https://www.linkedin.com/jobs/view/quant-trader-at-amber-group-4404706458,Amber Group,,Quant Trader,,,,,,,,,Jobs at Pantera Capital Companies | Pantera Capital,2026-04-25T06:40:37.000Z
https://pixiongames.teamtailor.com/jobs/7615994-game-data-analyst,Pixion Games,pixiongames.com,Game Data Analyst,"The Game Data Analyst will own player, product, and commercial analysis for Fableborne, translating complex gameplay and monetisation data into actionable insights. The role involves building segmentation frameworks, analysing user acquisition funnels, and collaborating with cross-functional teams to enhance player experience and monetisation strategies.",data analytics; product analytics; SQL; A/B testing; cohort analysis; funnel analysis; KPI modelling; Amplitude; DataDog; web3,,Remote,Full-time,Mid,Design & Product,Gaming,Jobs at Shima Capital Companies | Shima Capital,2026-04-25T05:27:32.000Z
https://www.linkedin.com/jobs/view/staff-platform-engineer-americas-at-ashby-4403602810?utm_source=Multicoin+Capital+job+board&utm_medium=getro.com&gh_src=Multicoin+Capital+job+board,Ashby,ashby.com,"Staff Platform Engineer, Americas","Ashby is seeking a Staff Platform Engineer to enhance their infrastructure as they scale rapidly. The role involves optimizing systems, ensuring security, and enabling developers to ship features efficiently.",Infrastructure; Platform Engineering; SQL; Security; Canary Deploys; Automation; Debugging; Software Development; Cloud Services; Data Privacy,"$190,000.00/yr - $275,000.00/yr","Portland, OR",Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-25T05:27:29.000Z
https://coinbase.getro.com/companies/salt-ai-2/jobs/76204474-financial-services-ai-automations-intern#content,Salt AI,salt.ai,Financial Services AI Automations Intern,"The intern will join the CBO & Sales Solutions team at Salt AI, focusing on building agentic AI workflows for financial services. This hands-on role involves writing Python code and deploying workflows to automate financial processes.",Python; AI; Data Integration; Workflow Automation; Machine Learning,,United States,Internship,Entry,Engineering,,Jobs | Coinbase Job Board,2026-04-25T05:27:29.000Z
https://jobs.multicoin.capital/companies/ashby/jobs/76201861-senior-software-engineer-product-engineering-americas#content,Ashby,ashby.com,"Senior Software Engineer, Product Engineering, Americas","The Senior Software Engineer will take ownership of product features, working end-to-end to design, build, and implement solutions that enhance the user experience. The role emphasizes innovation and creativity, allowing engineers to influence product direction without traditional constraints.",JavaScript; React; Node.js; SQL; Product Design; Wireframing; Prototyping; Software Development; Agile; Automation,USD 153k-220k / year + Equity,"Portland, OR, USA",Full-time,Mid,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-25T05:12:29.000Z
https://jobs.multicoin.capital/companies/ashby/jobs/76201859-staff-software-engineer-product-engineering-americas#content,Ashby,ashby.com,"Staff Software Engineer, Product Engineering, Americas","The Staff Software Engineer will take ownership of product features, working end-to-end on projects that enhance Talent Acquisition software. The role emphasizes innovation and creativity, allowing engineers to impact users directly without traditional Agile constraints.",JavaScript; React; SQL; Product Management; Wireframing; Prototyping; Software Development; User Interface Design; Automation; API Integration,USD 190k-275k / year + Equity,"Salt Lake City, UT, USA",Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-25T04:57:29.000Z
https://fr.linkedin.com/jobs/view/staff-software-engineer-product-engineering-eu-at-ashby-4403336549?utm_source=Multicoin+Capital+job+board&utm_medium=getro.com&gh_src=Multicoin+Capital+job+board,Ashby,ashby.com,"Staff Software Engineer, Product Engineering, EU","Ashby is seeking a Staff Software Engineer to take ownership of product features and projects, focusing on solving customer problems with innovative software solutions. The role emphasizes a creative engineering culture with minimal meetings and a strong emphasis on product ownership.",Full-stack development; SQL; Product management; Design; Wireframing; Automated scheduling; User interface design; Software engineering; Agile methodologies; Prototyping,141000 - 226000 €/year,Lacaussade,Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-25T03:42:29.000Z
https://jobs.arbitrum.io/companies/openzeppelin-2/jobs/76195755-lead-institutional-sales-europe#content,OpenZeppelin,openzeppelin.com,Lead Institutional Sales - Europe,"The Lead Institutional Sales for Europe will manage the full sales cycle with financial institutions, driving revenue growth and establishing strategic partnerships. This role requires a deep understanding of Web3 and the crypto industry, along with exceptional communication and negotiation skills.",Sales; Web3; Digital Assets; Tokenization; Negotiation; Relationship Building; Data Analysis; Smart Contract Development; Solidity,,Remote,Full-time,Senior,Sales & Business Development,Infrastructure,Jobs | Arbitrum Job Board,2026-04-25T02:28:35.000Z
https://www.citadelsecurities.com/careers/details/senior-platform-infrastructure-engineer/,Citadel Securities,citadelsecurities.com,Senior Platform Infrastructure Engineer,"Citadel Securities is seeking a Senior Platform Infrastructure Engineer to join their Platform Engineering teams in Miami or New York. The role involves designing and maintaining critical infrastructure software for high-frequency trading systems, ensuring optimal performance and stability.",C; Python; Linux; Jira; Git; Jenkins; Bazel; Terraform; Distributed Systems; Security Protocols,"$175,000 to $350,000","Miami, New York",Full-time,Senior,Engineering,Trading,Jobs | Paradigm Job Board,2026-04-25T00:39:56.000Z
https://www.citadelsecurities.com/careers/details/software-engineer-in-test-sdet/,Citadel Securities,citadelsecurities.com,Software Engineer in Test (SDET),"The Software Engineer in Test (SDET) will contribute to the modernization of Citadel Securities' core platform by building frameworks and hooks to verify distributed systems correctness. Responsibilities include developing automated tests, performance testing, and collaborating with cross-functional teams to ensure system reliability.",Python; C; Linux; TCP; UDP; Jenkins; GitHub Actions; Kafka; Prometheus; Grafana,"$175,000 to $350,000",New York,Full-time,Mid,Engineering,,Jobs | Paradigm Job Board,2026-04-25T00:24:56.000Z
https://www.citadelsecurities.com/careers/details/systematic-trader/,Citadel Securities,citadelsecurities.com,Systematic Trader,"As a Systematic Trader, you will manage the daily operations of quantitative systematic trading strategies, making real-time decisions to manage risk and respond to market conditions. You will collaborate with strategy developers and technologists to enhance the trading platform and drive business growth.",Linux; Python; Electronic Trading; Market Microstructure; Risk Management; Quantitative Analysis; Strategic Decision Making; Problem Solving,"$150,000 to $325,000","Dublin, Gurugram, Hong Kong, London, New York, Singapore",Full-time,Mid,Trading,,Jobs | Paradigm Job Board,2026-04-24T21:38:32.000Z
https://jobs.ashbyhq.com/mystenlabs/e109bb83-8831-4864-bab6-257175bf5b0b,Mysten Labs,,"Senior Core Engineer, Walrus",,,,,,,,,Ashby: Mysten Labs,2026-04-24T20:53:03.764+00:00
https://jobs.solana.com/companies/crossmint-2/jobs/76140809-senior-account-executive-fintech-nyc-mia#content,Crossmint,crossmint.io,Senior Account Executive - Fintech (NYC / MIA),"The Senior Account Executive will manage the full sales cycle in Crossmint's fintech vertical, leveraging a deep understanding of stablecoins and payment infrastructure to build relationships with key stakeholders. The role requires a blend of sales expertise and technical knowledge to close complex deals.",stablecoins; payment rails; wallets; compliance; APIs; integration architecture; GTM; consulting; operations; technical sales,USD 120k-170k / year,"Hybrid (New York City or Miami, open to remote within the United States)",Full-time,Mid,Sales & Business Development,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-24T20:09:58.000Z
https://jobs.solana.com/companies/crossmint-2/jobs/76140807-sales-development-representative-nyc-mia#content,Crossmint,crossmint.io,Sales Development Representative (NYC / MIA),The Sales Development Representative will qualify inbound leads and manage relationships with smaller clients in the crypto and fintech space. This role is ideal for someone early in their career with a strong understanding of the crypto landscape.,Sales; Customer Relationship Management; API; Fintech; Stablecoins; Wallets; Communication; Lead Qualification,USD 75k-85k / year,"New York City, Miami",Full-time,Entry,Sales & Business Development,Infrastructure,Jobs | Solana Network Opportunities Job Board,2026-04-24T19:54:58.000Z
https://jobs.multicoin.capital/companies/genies/jobs/76092228-senior-machine-learning-engineer-animation-modeling#content,Genies,genies.com,"Senior Machine Learning Engineer, Animation Modeling","Genies is seeking a Senior Machine Learning Engineer to develop core machine learning models for animation generation. The role involves designing, training, and deploying models that connect various inputs to coherent motion outputs, focusing on generative AI and animation systems.",Machine Learning; Generative Models; Multimodal Systems; PyTorch; Diffusion Models; Transformers; 3D Animation; Computer Graphics; Model Optimization; Real-time Inference,$180K - $270K,"San Francisco, CA, USA",Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-24T19:39:58.000Z
https://jobs.solana.com/companies/ondo-finance/jobs/76101182-security-engineer#content,Ondo Finance,ondo.finance,Security Engineer,"As a Security Engineer at Ondo Finance, you will secure blockchain-based financial products and infrastructure, executing security architecture reviews and implementing controls for on-chain and off-chain systems. You will work closely with product and engineering teams to maintain secure systems that protect digital assets and sensitive data.",Solidity; Rust-Solana; Move; Go; cryptography; smart contracts; DeFi; incident response; network segmentation; scripting,,Remote,Full-time,Mid,Engineering,DeFi,Jobs | Solana Network Opportunities Job Board,2026-04-24T19:39:58.000Z
https://jobs.multicoin.capital/companies/genies/jobs/76092226-senior-machine-learning-engineer-animation-integration#content,Genies,genies.com,"Senior Machine Learning Engineer, Animation Integration",Genies is seeking a Senior Machine Learning Engineer to integrate machine learning systems into production animation pipelines. The role involves developing systems that translate various inputs into responsive avatar motion and collaborating with cross-functional teams to enhance animation quality.,Python; C++; C#; PyTorch; TensorFlow; Unity; Unreal; motion capture; animation systems; data processing,$180K - $270K,"San Francisco, CA, USA",Full-time,Senior,Engineering,,Jobs | Multicoin Capital Job Board,2026-04-24T19:24:58.000Z
https://www.coinbase.com/careers/positions/7746572?gh_jid=7746572,Coinbase,coinbase.com,"Communications Manager, Policy & Public Affairs","The Communications Manager will lead the communications strategy for legislative and regulatory initiatives, ensuring a fair environment for the crypto economy. The role involves shaping public narratives, mobilizing advocacy, and maintaining Coinbase's brand authority in a complex political landscape.",Political Communications; Public Affairs; Media Relations; Advocacy; Strategic Narratives; Digital Marketing; Crisis Management; Stakeholder Engagement; Regulatory Affairs; Narrative Development,"$170,000 - $200,900 USD",Remote,Full-time,Senior,Marketing,Infrastructure,Greenhouse: Coinbase,2026-04-24T15:18:58-04:00
https://jobs.multicoin.capital/companies/genies/jobs/76092230-technical-artist-avatar-systems#content,Genies,genies.com,Technical Artist: Avatar Systems,"Genies is seeking a Technical Artist to develop modular avatar systems and scalable pipelines for customizable avatars. The role requires expertise in character rigging, geometry processing, and AI-assisted workflows.",Python; C++; character rigging; skin weights; 3D math; procedural techniques; machine learning; USD composition; geometry processing; neural representations,$130K – $180K,"San Francisco, CA, USA",Full-time,Senior,Avatar Technology,,Jobs | Multicoin Capital Job Board,2026-04-24T19:09:58.000Z
https://jobs.solana.com/companies/refi-hub/jobs/75753939-office-culture-coordinator#content,Refi Hub,refihub.com,Office & Culture Coordinator,The Office & Culture Coordinator at Refi Hub will be responsible for enhancing the workplace environment and supporting HR initiatives. This role focuses on fostering a positive office culture and ensuring smooth operations within the team.,,,"Powell, OH, USA",Full-time,Entry,People & HR,,Jobs | Solana Network Opportunities Job Board,2026-04-24T19:09:58.000Z
https://job-boards.greenhouse.io/mesh/jobs/5199190008,Mesh,mesh.com,Senior QA Automation Engineer,"The Senior QA Automation Engineer will design and maintain automation frameworks, ensuring quality throughout the development lifecycle. This role involves collaborating closely with engineering and product teams to deliver reliable Web3 experiences.",Playwright; Cypress; TypeScript; JavaScript; Python; CI/CD; Web3; dApps; GitHub Actions; Selenium,"$100,000-$400,000","San Francisco, CA",Full-time,Senior,Engineering,Infrastructure,Jobs | Paradigm Job Board,2026-04-24T18:45:45.000Z
https://boards.greenhouse.io/robinhood/jobs/7819113?t=gh_src=&gh_jid=7819113,Robinhood,robinhood.com,APAC Security GRC Lead,"The APAC Security GRC Lead will oversee the information security and technology risk management program for Robinhood Singapore, ensuring compliance with local regulatory requirements. This role involves designing a security framework, advising management on risk, and leading compliance efforts with MAS guidelines.",information security; cyber risk; technology risk management; MAS Technology Risk Management Guidelines; regulatory compliance; incident response; risk assessment; vendor management,,Singapore,Full-time,Senior,Security,,Greenhouse: Robinhood,2026-04-24T13:15:51-04:00
https://jobs.lever.co/binance/3fbacb86-5b41-44d5-9e43-e514cf711a32,Binance,binance.com,Financial Controller/ Finance Director,"The Financial Controller/Finance Director will manage financial reporting, account reconciliation, and the accounting of cryptocurrency transactions. The role involves ensuring compliance with Japanese financial regulations and collaborating with global finance teams.",Financial Reporting; Account Reconciliation; Crypto Transactions; Internal Controls; Financial Analysis; Regulatory Compliance; Tax Compliance; CPA; Japanese Accounting Standards; Analytical Skills,,"Tokyo, Japan",Full-time,Mid,Finance & Administration,Infrastructure,Binance,2026-04-24T17:04:57.000Z
https://jobs.lever.co/moonpay/0d1a9a38-f369-449f-a188-8e8e49f626a8,MoonPay,moonpay.com,Senior Workday Engineer (Techno-Functional Lead),"As a Senior Workday Engineer, you will own and evolve the Workday ecosystem, focusing on day-to-day operations and technical improvements. The role involves configuring Workday, managing integrations, and driving automation to enhance system performance.",Workday; HCM; APIs; EIBs; Workday Studio; Reporting; Advanced Compensation; Talent & Performance; Time Tracking; Learning,,Remote,Full-time,Mid,Technology & Security Services,Infrastructure,Lever: MoonPay,2026-04-24T16:57:01.008Z
